name	female_count	male_count
aaban	0	96
aabha	35	0
aabid	0	10
aabir	0	5
aabriella	26	0
aada	5	0
aadam	0	236
aadan	0	122
aadarsh	0	184
aaden	5	4409
aadesh	0	15
aadhav	0	161
aadhavan	0	30
aadhi	0	28
aadhira	51	0
aadhvik	0	28
aadhvika	9	0
aadhya	1188	0
aadhyan	0	12
aadi	16	765
aadian	0	5
aadil	0	326
aadin	0	117
aadish	0	22
aadison	11	0
aadit	0	313
aadith	0	61
aadithya	0	11
aaditri	37	0
aaditya	0	524
aadiv	0	17
aadon	0	117
aadrian	0	12
aadrika	19	0
aadrit	0	10
aadriti	5	0
aadvi	7	0
aadvik	0	137
aadvika	33	0
aadya	876	0
aadyn	16	467
aafia	6	0
aafiya	6	0
aafiyah	5	0
aafreen	5	0
aagam	0	20
aage	0	7
aagna	7	0
aagot	5	0
aahaan	0	27
aahan	0	227
aahana	459	0
aahil	0	488
aahir	0	6
aahliyah	24	0
aahna	84	0
aahron	0	5
aaidan	0	38
aaiden	0	704
aaidyn	0	54
aaila	36	0
aailiyah	15	0
aailyah	184	0
aaima	54	0
aaira	128	0
aairah	71	0
aaisha	182	0
aaishah	18	0
aaiyana	5	0
aaiza	16	0
aaja	5	0
aajah	29	0
aajaylah	20	0
aajon	0	8
aakanksha	10	0
aakarsh	0	53
aakash	0	915
aakeem	0	16
aakilah	18	0
aakira	5	0
aakiyah	5	0
aakriti	43	0
aala	79	0
aalaiya	7	0
aalaiyah	60	0
aalana	43	0
aalanah	21	0
aalani	67	0
aalap	0	6
aalaya	127	0
aalayah	728	0
aalayiah	20	0
aalayjah	6	0
aalayna	40	0
aalaysha	17	0
aalaysia	127	0
aalea	7	0
aaleah	262	0
aaleahya	20	0
aaleayah	5	0
aaleena	5	0
aaleeya	5	0
aaleeyah	114	0
aaleiah	6	0
aaleigha	155	0
aaleiyah	37	0
aalena	5	0
aalexis	20	0
aalexus	6	0
aaleya	16	0
aaleyah	1022	0
aali	0	6
aalia	421	0
aaliah	863	0
aaliana	18	0
aalias	0	5
aaliayah	124	0
aaliayh	47	0
aalicia	5	0
aaliha	12	0
aalijah	127	183
aalim	0	28
aalimah	11	0
aalina	51	0
aalinah	6	0
aalisa	5	0
aalisha	35	0
aalivia	54	0
aaliya	1132	0
aaliyaa	5	0
aaliyah	79367	89
aaliyaha	21	0
aaliyahmarie	28	0
aaliyahrose	22	0
aaliyan	103	5
aaliyana	107	0
aaliyanna	5	0
aaliyha	428	0
aaliyiah	41	0
aalliyah	164	0
aallyah	5	0
aalok	0	10
aalon	0	5
aaloni	5	0
aalya	41	0
aalyah	627	0
aalycia	25	0
aalyha	19	0
aalyia	5	0
aalyiah	711	0
aalyna	5	0
aalysia	6	0
aalyssa	115	0
aalyvia	5	0
aamanda	10	0
aamanee	10	0
aamani	157	0
aamar	0	5
aamari	81	109
aamarion	0	10
aamaya	5	0
aamber	14	0
aamena	10	0
aamer	0	35
aamia	16	0
aamil	0	22
aamilah	59	0
aamina	280	0
aaminah	342	0
aamir	6	1704
aamira	275	0
aamirah	164	0
aamiya	44	0
aamiyah	357	0
aamna	207	0
aamoni	10	0
aamora	5	0
aamori	101	0
aamya	121	0
aamyah	57	0
aana	7	0
aanand	0	5
aanav	0	15
aanay	0	9
aanaya	29	0
aanchal	67	0
aania	47	0
aaniah	33	0
aanijah	5	0
aanika	258	0
aanisah	39	0
aaniya	297	0
aaniyah	1128	0
aaniylah	11	0
aansh	0	20
aanshi	72	0
aanvi	169	0
aanya	2390	0
aanyah	78	0
aanyla	7	0
aapri	5	0
aaqib	0	22
aaqil	0	42
aara	78	0
aarabella	17	0
aarabhi	5	0
aaradhana	38	0
aaradhy	0	5
aaradhya	406	0
aaraf	0	10
aaraiz	0	6
aaralyn	1168	0
aaralynn	259	0
aaran	0	201
aaraon	0	5
aaratrika	5	0
aarav	0	4329
aaravi	12	0
aaravreddy	0	6
aaraya	5	0
aaren	282	770
aareon	10	33
aareona	7	0
aari	9	10
aaria	255	0
aariah	221	0
aarian	53	106
aariana	396	0
aarianna	195	0
aarib	0	61
aaric	0	445
aarica	95	0
aarick	0	28
aarie	5	0
aariel	181	0
aariella	5	0
aarielle	42	0
aarien	0	7
aarik	0	142
aarika	755	0
aariketh	0	6
aarilyn	107	0
aarilynn	10	0
aarin	302	501
aarini	85	0
aarion	140	454
aariona	237	0
aarionna	133	0
aaris	41	37
aarish	0	146
aarit	0	93
aariv	0	206
aariya	102	0
aariyah	402	0
aariyan	0	5
aariyana	92	0
aariyanna	14	0
aariyona	5	0
aariyonna	5	0
aariz	0	531
aarjav	0	28
aarn	0	17
aarna	1125	0
aarnav	0	430
aarnavi	39	0
aarne	0	10
aaro	0	34
aaroh	0	5
aarohan	0	16
aarohi	438	0
aarolyn	11	0
aaron	4269	568057
aarona	5	0
aaronae	5	0
aaronda	5	0
aaronette	11	0
aaronisha	6	0
aaronjacob	0	5
aaronjames	0	100
aaronjohn	0	21
aaronjoseph	0	7
aaronjosh	0	5
aaronjoshua	0	10
aaronlee	0	5
aaronmichael	0	74
aaronn	0	22
aaroosh	0	6
aarren	0	5
aarron	0	1220
aarsh	0	50
aarshi	21	0
aarshiya	5	0
aarthi	104	0
aarti	437	0
aaruhi	12	0
aarush	0	1885
aarushi	653	0
aarvi	95	0
aarvin	0	5
aarya	1319	301
aaryah	47	0
aaryahi	12	0
aaryan	6	1235
aaryana	107	0
aaryanna	201	0
aaryash	0	6
aaryav	0	110
aaryn	1029	634
aarynn	5	0
aaryon	0	15
aaryona	10	0
aarza	5	0
aaseem	0	5
aaser	0	12
aasha	277	0
aashana	5	0
aashay	0	31
aashi	523	0
aashia	6	0
aashika	79	0
aashini	5	0
aashir	0	103
aashirya	20	0
aashish	0	132
aashita	6	0
aashiyana	12	0
aashka	140	0
aashman	0	5
aashna	608	0
aashni	52	0
aashray	0	14
aashrita	46	0
aashrith	0	112
aashritha	128	0
aashvi	273	0
aasia	219	0
aasim	0	231
aasin	0	52
aasir	0	62
